id,title,country,country_code,region,sub_region,trip_type,trip_type_id,duration_days,best_period_months,best_period_window,budget_tier,budget_low_eur,budget_high_eur,acc_low,acc_high,food_low,food_high,trans_low,trans_high,act_low,act_high,difficulty,fitness_level,basecamps,gateway_airport,gateway_airport_code,currency,languages,tags,lat,lon,coord_precision,verify_flag_count,word_count,source_batch,source_file
at-cycling-donauradweg-wachau,The Donauradweg — Passau to Vienna Through the Wachau,Austria,AT,Western & Central Europe,"Danube Valley, Upper and Lower Austria",Cycling Trips,1,7,May|June|September|October,July and August fill the riverside hotels and the ferries; late September gives you the Wachau grape harvest and empty cycle path.,€€,950,1400,450,650,250,350,110,180,140,220,2,Moderate,"Point-to-point, Passau to Vienna",Vienna (VIE),VIE,EUR,German,donauradweg|eurovelo-6|wachau|river-ferries|e-bike,48.2085,16.3721,city,0,2109,western-central,cartatripsv1/trips/at-cycling-donauradweg-wachau.md
be-cycling-flemish-ardennes-bergs,Kasseien and Bergs — A Week in the Flemish Ardennes,Belgium,BE,Western & Central Europe,"Vlaamse Ardennen, East Flanders",Cycling Trips,1,7,April|May|June|September,"Ride in April for Ronde van Vlaanderen atmosphere, September for dry cobbles and empty lanes; winter turns the kasseien into ice.",€€,900,1350,420,600,240,340,90,160,150,250,4,Active,Oudenaarde,Brussels (BRU),BRU,EUR,Dutch|French,cobbles|ronde-van-vlaanderen|knooppunten|climbing|road-cycling,50.8517,3.6089,city,0,2094,western-central,cartatripsv1/trips/be-cycling-flemish-ardennes-bergs.md
be-cycling-vennbahn-ardennes,The Vennbahn — Aachen to Troisvierges on a Borrowed Railway,Belgium,BE,Western & Central Europe,"Ostbelgien and the High Fens, Liège Province",Cycling Trips,1,7,May|June|July|September,The High Fens hold snow and freezing fog into April and the plateau is genuinely cold; September gives the driest surfaces and the heather.,€€,880,1280,430,600,230,330,90,150,130,200,2,Moderate,"Point-to-point, Aachen to Troisvierges",Brussels (BRU),BRU,EUR,German|French|Dutch|Luxembourgish,vennbahn|ravel|rail-trail|tri-border|e-bike,50.8505,4.3488,gateway,0,2086,western-central,cartatripsv1/trips/be-cycling-vennbahn-ardennes.md
bg-cycling-danube-eurovelo6,"Into the Easterly: EuroVelo 6 Along the Bulgarian Danube, Vidin to Cherven",Bulgaria,BG,Eastern & Southeastern Europe,"The Bulgarian Danube bank, the Danubian Plain and Rusenski Lom",Cycling Trips,1,7,May|June|September,"the second half of May, and the first three weeks of September",€,430,785,140,260,105,175,150,290,35,60,3,Moderate,Vidin|Belogradchik|Lom|Nikopol|Svishtov|Ruse,"Sofia (SOF) is the practical gateway. BDŽ runs Sofia–Vidin daily, roughly 5–5 h 30. Finish in Ruse: BDŽ Ruse–Sofia is ~6 h 30, or fly out of Bucharest Otopeni (OTP), 75 km north across the river.",SOF,Euro (EUR) — sole legal tender since 1 February 2026; mandatory dual BGN display ended 8 August 2026,Bulgarian,eurovelo-6|danube|cycling|unesco|fortresses|birdwatching|headwind,43.9916,22.8824,city,13,2375,eastern-southeastern,cartaeasterneuropetrips/trips/bulgaria-danube-eurovelo6-cycling.md
cz-cycling-south-bohemia-ponds,Carp Country — Cycling the Třeboň Ponds and the Vltava,Czechia,CZ,Western & Central Europe,"South Bohemia, Třeboňsko Biosphere Reserve",Cycling Trips,1,7,May|June|September|October,"Late October is the carp harvest, when the ponds are drained and the dams are working roads; midsummer brings mosquitoes to the bog margins.",€,700,1050,320,460,180,270,90,150,110,170,2,Moderate,Třeboň and České Budějovice,Prague (PRG),PRG,CZK,Czech|German,greenway-praha-viden|eurovelo-7|fishponds|gravel|unesco,48.9745,14.4743,city,0,2099,western-central,cartatripsv1/trips/cz-cycling-south-bohemia-ponds.md
de-cycling-bodensee-radweg,The Bodensee-Radweg Full Loop,Germany,DE,Western & Central Europe,"Bodensee, Baden-Württemberg",Cycling Trips,1,7,May|June|September|October,July and August are ridable but the path through Meersburg and Lindau becomes a slow-moving queue by 11:00.,€€,880,1310,430,650,230,320,120,190,100,150,2,Moderate,Konstanz,Zürich (ZRH),ZRH,EUR,German,bodensee-radweg|three-countries|lake-ferries|flat-riding|bett-und-bike,47.6603,9.1758,city,0,1911,western-central,cartatripsv1/trips/de-cycling-bodensee-radweg.md
dk-cycling-bornholm-round-granite-coast-smokehouse-loop,Bornholm Round: Granite Coast & Smokehouse Loop,Denmark,DK,Northern Europe & Baltics,"Bornholm, Baltic Sea",Cycling Trips,1,7,May|June|July|August|September,Mid-May to mid-September; peak light and open smokehouses late June–August; quietest late May and first half of September,€€,1050,1500,90,150,45,70,120,190,60,110,2,Moderate,Rønne|Allinge|Gudhjem|Svaneke,,,DKK (Danish krone),Danish|English,,55.1,14.9167,source,0,1409,northern-baltics,carta_northern_europe_baltics_trips.md#trip-01
ee-cycling-saaremaa-muhu-juniper-island-loop,Saaremaa & Muhu: Juniper Island Loop,Estonia,EE,Northern Europe & Baltics,West Estonian Archipelago,Cycling Trips,1,7,May|June|July|August|September,"Late May to mid-September; June for wildflower meadows and midnight-ish light, September for empty roads and warm sea",€,650,1000,55,110,30,50,90,150,40,80,1,Easy,Kuressaare|Koguva|Mustjala|Nasva,,,EUR,Estonian|Russian|English,,58.2528,22.4869,source,0,1344,northern-baltics,carta_northern_europe_baltics_trips.md#trip-03
es-cycling-girona-costa-brava,Girona & the Costa Brava,Spain,ES,Southern & Mediterranean Europe,Catalonia — Girona & the Costa Brava,Cycling Trips,1,7,March|April|May|June|September|October|November,March–early June & mid-September–early November,€€,1500,2400,630,1120,350,560,120,230,400,490,4,Demanding,,"GRO Girona–Costa Brava, 15 min to the city centre; BCN Barcelona El Prat, 1 h 20 min by AVE plus a short ride",GRO,,,road-cycling|rocacorba|els-angels|greenway|costa-brava|pro-training-roads|gravel|catalonia,41.9831,2.8249,city,0,2767,southern-mediterranean,carta-dataset/trips/cycling-spain-girona-costa-brava.md
fr-cycling-alsace-vineyard-route,The Alsace Vineyard Route by Bike,France,FR,Western & Central Europe,"Alsace, Grand Est",Cycling Trips,1,7,May|June|September|October,"Late September and early October put you in the vineyards during the vendanges, with tractor traffic on the narrow lanes.",€€,950,1400,460,690,240,330,110,180,150,220,3,Active,Colmar,EuroAirport Basel-Mulhouse-Freiburg (BSL),BSL,EUR,French|German|Alsatian,vineyard-route|eurovelo-5|wine-villages|train-assisted|e-bike-friendly,48.0808,7.3558,city,0,1996,western-central,cartatripsv1/trips/fr-cycling-alsace-vineyard-route.md
